0,6.99875e-021nan,
1,1.59441e-019,5.36108e-016,
2,2.24743e-019,7.59037e-016,
3,3.22353e-019,1.2298e-015,
4,4.28554e-019,2.02707e-015,
5,5.28713e-019,3.24173e-015,
6,6.1515e-019,4.85422e-015,
7,6.85331e-019,6.69669e-015,
8,7.3888e-019,8.46445e-015,
9,7.75881e-019,9.79297e-015,
10,7.96536e-019,1.03766e-014,
11,8.01228e-019,1.01137e-014,
12,7.89653e-019,9.07933e-015,
13,7.61964e-019,7.55691e-015,
14,7.18194e-019,5.8969e-015,
15,6.58747e-019,4.4019e-015,
16,5.85504e-019,3.24967e-015,
17,5.04508e-019,2.48289e-015